trade_date,fruit_category,crop_name_zh,crop_code,market_code,market_name,high_price_twd_per_kg,mid_price_twd_per_kg,low_price_twd_per_kg,avg_price_twd_per_kg,volume_kg,price_unit,volume_unit
2017-04-18,apple,蘋果-富士進口,X69,104,台北二,131.7,45.4,23.3,58.3,7496.0,TWD/kg,kg
2017-04-19,apple,蘋果-富士進口,X69,104,台北二,148.6,56.7,31.7,70.1,4646.0,TWD/kg,kg
2017-04-20,apple,蘋果-富士進口,X69,104,台北二,180.7,69.1,41.1,85.8,18464.0,TWD/kg,kg
2017-04-20,apple,蘋果-金冠進口,X49,104,台北二,44.4,44.4,44.4,44.4,1476.0,TWD/kg,kg
2017-04-21,apple,蘋果-富士進口,X69,104,台北二,153.5,68.3,30.1,77.7,10072.0,TWD/kg,kg
2017-04-22,apple,蘋果-富士進口,X69,104,台北二,117.8,49.9,25.9,58.6,9386.0,TWD/kg,kg
2017-04-23,apple,蘋果-富士進口,X69,104,台北二,69.5,46.3,38.2,49.4,29974.0,TWD/kg,kg
2017-04-25,apple,蘋果-富士進口,X69,104,台北二,110.0,53.0,39.7,61.7,26622.0,TWD/kg,kg
2017-04-26,apple,蘋果-富士進口,X69,104,台北二,133.2,50.4,23.4,61.5,15122.0,TWD/kg,kg
2017-04-27,apple,蘋果-富士進口,X69,104,台北二,98.5,44.9,35.3,53.7,57498.0,TWD/kg,kg
2017-04-28,apple,蘋果-富士進口,X69,104,台北二,88.5,36.2,28.2,45.1,39250.0,TWD/kg,kg
2017-04-29,apple,蘋果-富士進口,X69,104,台北二,67.1,43.9,32.5,46.3,36086.0,TWD/kg,kg
2017-04-30,apple,蘋果-富士進口,X69,104,台北二,114.7,46.9,24.7,56.0,17934.0,TWD/kg,kg
2017-05-02,apple,蘋果-富士進口,X69,104,台北二,88.1,48.9,28.4,52.6,15798.0,TWD/kg,kg
2017-05-03,apple,蘋果-富士進口,X69,104,台北二,112.2,59.7,28.8,64.0,30594.0,TWD/kg,kg
2017-05-04,apple,蘋果-富士進口,X69,104,台北二,98.3,39.0,29.0,48.9,31348.0,TWD/kg,kg
2017-05-05,apple,蘋果-富士進口,X69,104,台北二,72.6,44.5,29.4,47.1,28750.0,TWD/kg,kg
2017-05-06,apple,蘋果-富士進口,X69,104,台北二,85.0,45.2,29.5,50.1,28366.0,TWD/kg,kg
2017-05-07,apple,蘋果-富士進口,X69,104,台北二,100.1,50.8,31.5,56.8,15674.0,TWD/kg,kg
2017-05-07,apple,蘋果-金冠進口,X49,104,台北二,37.0,37.0,37.0,37.0,450.0,TWD/kg,kg
2017-05-09,apple,蘋果-富士進口,X69,104,台北二,74.7,42.3,30.9,46.5,47358.0,TWD/kg,kg
2017-05-10,apple,蘋果-富士進口,X69,104,台北二,100.0,41.9,27.3,50.6,34412.0,TWD/kg,kg
2017-05-11,apple,蘋果-富士進口,X69,104,台北二,120.9,40.0,23.9,53.0,28457.0,TWD/kg,kg
2017-05-12,apple,蘋果-富士進口,X69,104,台北二,113.4,50.0,27.7,58.2,11636.0,TWD/kg,kg
2017-05-13,apple,蘋果-富士進口,X69,104,台北二,67.7,41.8,31.7,45.0,11338.0,TWD/kg,kg
2017-05-14,apple,蘋果-富士進口,X69,104,台北二,141.8,66.2,31.9,74.5,14314.0,TWD/kg,kg
2017-05-16,apple,蘋果-富士進口,X69,104,台北二,176.6,54.6,30.8,74.3,43976.0,TWD/kg,kg
2017-05-17,apple,蘋果-富士進口,X69,104,台北二,129.6,67.9,38.7,74.4,21964.0,TWD/kg,kg
2017-05-18,apple,蘋果-五爪進口,X19,104,台北二,20.0,20.0,20.0,20.0,980.0,TWD/kg,kg
2017-05-18,apple,蘋果-富士進口,X69,104,台北二,209.4,53.2,35.5,80.9,23818.0,TWD/kg,kg
